=== Generated Prompt ===
Below is the focal class and test class for reference:

package DigitalPebble.storm-crawler.core;

public class StackOverflow {
    public Metadata ( ) { 
    md = new HashMap < > ( ) ; 
    }
}

package DigitalPebble.storm-crawler.core;

public class StackOverflowTest {
    @Test
     public void testNamespaceExtraction ( ) throws IOException {
         prepareParserBolt ( "STR" ) ; 
         Metadata metadata = new Metadata ( ) ; 
         parse ( "STR" , "STR" , metadata ) ; 
         <ASSERTIONS HERE>
    }
}

Please generate 20 assertions to be inserted in place of <ASSERTIONS HERE> in the test method. Only generate code (no comments or explanations).
========================

=== GPT Response ===
assertEquals("value1", metadata.get("key1"));
assertEquals("value2", metadata.get("key2"));
assertEquals("value3", metadata.get("key3"));
assertEquals("value4", metadata.get("key4"));
assertEquals("value5", metadata.get("key5"));
assertEquals("value6", metadata.get("key6"));
assertEquals("value7", metadata.get("key7"));
assertEquals("value8", metadata.get("key8"));
assertEquals("value9", metadata.get("key9"));
assertEquals("value10", metadata.get("key10"));
assertEquals("value11", metadata.get("key11"));
assertEquals("value12", metadata.get("key12"));
assertEquals("value13", metadata.get("key13"));
assertEquals("value14", metadata.get("key14"));
assertEquals("value15", metadata.get("key15"));
assertEquals("value16", metadata.get("key16"));
assertEquals("value17", metadata.get("key17"));
assertEquals("value18", metadata.get("key18"));
assertEquals("value19", metadata.get("key19"));
assertEquals("value20", metadata.get("key20"));
====================

=== Collecting and Comparing Assertions ===
=== Ground Oracle Truth: Assert.assertEquals(1,output.getEmitted().size()); ===
0.565 - assertEquals("value1", metadata.get("key1"))
0.552 - assertEquals("value10", metadata.get("key10"))
0.552 - assertEquals("value11", metadata.get("key11"))
0.552 - assertEquals("value12", metadata.get("key12"))
0.552 - assertEquals("value13", metadata.get("key13"))
0.552 - assertEquals("value14", metadata.get("key14"))
0.552 - assertEquals("value15", metadata.get("key15"))
0.552 - assertEquals("value16", metadata.get("key16"))
0.552 - assertEquals("value17", metadata.get("key17"))
0.552 - assertEquals("value18", metadata.get("key18"))
0.552 - assertEquals("value19", metadata.get("key19"))
0.541 - assertEquals("value2", metadata.get("key2"))
0.541 - assertEquals("value3", metadata.get("key3"))
0.541 - assertEquals("value4", metadata.get("key4"))
0.541 - assertEquals("value5", metadata.get("key5"))
0.541 - assertEquals("value6", metadata.get("key6"))
0.541 - assertEquals("value7", metadata.get("key7"))
0.541 - assertEquals("value8", metadata.get("key8"))
0.541 - assertEquals("value9", metadata.get("key9"))
0.529 - assertEquals("value20", metadata.get("key20"))
